,round,date,city,home_team,away_team,group,result,country,city_ascii,lat,lng,pop,iso2,iso3,province,lat_home,lng_home,pop_home,lat_away,lng_away,pop_away,date_delta,date_int,geodesic,geodesic_home
49,Round of 16,2018-06-30 21:00:00,Moscow,Winner Group A,Runner-up Group B	,,,Russia,Moscow,55.75216412,37.61552283,10452000.0,RU,RUS,Moskva,-34.0921981756329,-101.12578106915348,176661.5,-34.0921981756329,-101.12578106915348,176661.5,79499 days 21:00:00.000000000,79499,16055.247983019339,16055.247983019339
50,Round of 16,2018-07-01 17:00:00,Moscow,Winner Group B,Runner-up Group A	,,,Russia,Moscow,55.75216412,37.61552283,10452000.0,RU,RUS,Moskva,-34.0921981756329,-101.12578106915348,176661.5,-34.0921981756329,-101.12578106915348,176661.5,79500 days 17:00:00.000000000,79500,16055.247983019339,16055.247983019339
51,Round of 16,2018-07-01 21:00:00,Moscow,Winner Group D,Runner-up Group C,,,Russia,Moscow,55.75216412,37.61552283,10452000.0,RU,RUS,Moskva,-34.0921981756329,-101.12578106915348,176661.5,-34.0921981756329,-101.12578106915348,176661.5,79500 days 21:00:00.000000000,79500,16055.247983019339,16055.247983019339
52,Round of 16,2018-07-02 17:00:00,Moscow,Winner Group E,Runner-up Group F,,,Russia,Moscow,55.75216412,37.61552283,10452000.0,RU,RUS,Moskva,-34.0921981756329,-101.12578106915348,176661.5,-34.0921981756329,-101.12578106915348,176661.5,79501 days 17:00:00.000000000,79501,16055.247983019339,16055.247983019339
53,Round of 16,2018-07-02 21:00:00,Moscow,Winner Group G,Runner-up Group H,,,Russia,Moscow,55.75216412,37.61552283,10452000.0,RU,RUS,Moskva,-34.0921981756329,-101.12578106915348,176661.5,-34.0921981756329,-101.12578106915348,176661.5,79501 days 21:00:00.000000000,79501,16055.247983019339,16055.247983019339
54,Round of 16,2018-07-03 17:00:00,Moscow,Winner Group F,Runner-up Group E,,,Russia,Moscow,55.75216412,37.61552283,10452000.0,RU,RUS,Moskva,-34.0921981756329,-101.12578106915348,176661.5,-34.0921981756329,-101.12578106915348,176661.5,79502 days 17:00:00.000000000,79502,16055.247983019339,16055.247983019339
55,Round of 16,2018-07-03 21:00:00,Moscow,Winner Group H,Runner-up Group G,,,Russia,Moscow,55.75216412,37.61552283,10452000.0,RU,RUS,Moskva,-34.0921981756329,-101.12578106915348,176661.5,-34.0921981756329,-101.12578106915348,176661.5,79502 days 21:00:00.000000000,79502,16055.247983019339,16055.247983019339
56,Quarter Finals,2018-07-06 17:00:00,Moscow,To be announced,To be announced,,,Russia,Moscow,55.75216412,37.61552283,10452000.0,RU,RUS,Moskva,-34.0921981756329,-101.12578106915348,176661.5,-34.0921981756329,-101.12578106915348,176661.5,79505 days 17:00:00.000000000,79505,16055.247983019339,16055.247983019339
57,Quarter Finals,2018-07-06 21:00:00,Moscow,To be announced,To be announced,,,Russia,Moscow,55.75216412,37.61552283,10452000.0,RU,RUS,Moskva,-34.0921981756329,-101.12578106915348,176661.5,-34.0921981756329,-101.12578106915348,176661.5,79505 days 21:00:00.000000000,79505,16055.247983019339,16055.247983019339
58,Quarter Finals,2018-07-07 17:00:00,Moscow,To be announced,To be announced,,,Russia,Moscow,55.75216412,37.61552283,10452000.0,RU,RUS,Moskva,-34.0921981756329,-101.12578106915348,176661.5,-34.0921981756329,-101.12578106915348,176661.5,79506 days 17:00:00.000000000,79506,16055.247983019339,16055.247983019339
59,Quarter Finals,2018-07-07 21:00:00,Moscow,To be announced,To be announced,,,Russia,Moscow,55.75216412,37.61552283,10452000.0,RU,RUS,Moskva,-34.0921981756329,-101.12578106915348,176661.5,-34.0921981756329,-101.12578106915348,176661.5,79506 days 21:00:00.000000000,79506,16055.247983019339,16055.247983019339
60,Semi Finals,2018-07-10 21:00:00,Moscow,To be announced,To be announced,,,Russia,Moscow,55.75216412,37.61552283,10452000.0,RU,RUS,Moskva,-34.0921981756329,-101.12578106915348,176661.5,-34.0921981756329,-101.12578106915348,176661.5,79509 days 21:00:00.000000000,79509,16055.247983019339,16055.247983019339
61,Semi Finals,2018-07-11 21:00:00,Moscow,To be announced,To be announced,,,Russia,Moscow,55.75216412,37.61552283,10452000.0,RU,RUS,Moskva,-34.0921981756329,-101.12578106915348,176661.5,-34.0921981756329,-101.12578106915348,176661.5,79510 days 21:00:00.000000000,79510,16055.247983019339,16055.247983019339
62,Finals,2018-07-14 17:00:00,Moscow,To be announced,To be announced,,,Russia,Moscow,55.75216412,37.61552283,10452000.0,RU,RUS,Moskva,-34.0921981756329,-101.12578106915348,176661.5,-34.0921981756329,-101.12578106915348,176661.5,79513 days 17:00:00.000000000,79513,16055.247983019339,16055.247983019339
63,Finals,2018-07-15 18:00:00,Moscow,To be announced,To be announced,,,Russia,Moscow,55.75216412,37.61552283,10452000.0,RU,RUS,Moskva,-34.0921981756329,-101.12578106915348,176661.5,-34.0921981756329,-101.12578106915348,176661.5,79514 days 18:00:00.000000000,79514,16055.247983019339,16055.247983019339
